date,shift,staff,start,end,manual
2026-08-03,AM,Sarah M.,08:00,13:00,
2026-08-03,PM,Jordan T.,13:00,18:00,
2026-08-04,AM,Sarah M.,08:00,13:00,
2026-08-04,PM,Jordan T.,13:00,18:00,
2026-08-05,AM,Sarah M.,08:00,13:00,
2026-08-05,PM,Jordan T.,13:00,18:00,
2026-08-06,AM,Sarah M.,08:00,13:00,
2026-08-06,PM,Jordan T.,13:00,18:00,
2026-08-07,AM,Sarah M.,08:00,13:00,
2026-08-07,PM,Jordan T.,13:00,18:00,
2026-08-10,AM,OPEN,08:00,13:00,
2026-08-10,PM,Jordan T.,13:00,18:00,
2026-08-11,AM,OPEN,08:00,13:00,
2026-08-11,PM,Jordan T.,13:00,18:00,
2026-08-12,AM,OPEN,08:00,13:00,
2026-08-12,PM,Jordan T.,13:00,18:00,
2026-08-13,AM,OPEN,08:00,13:00,
2026-08-13,PM,Jordan T.,13:00,18:00,
2026-08-14,AM,OPEN,08:00,13:00,
2026-08-14,PM,Jordan T.,13:00,18:00,
2026-08-17,AM,Sarah M.,08:00,13:00,
2026-08-17,PM,Jordan T.,13:00,18:00,
2026-08-18,AM,Sarah M.,08:00,13:00,
2026-08-18,PM,Jordan T.,13:00,18:00,
2026-08-19,AM,Sarah M.,08:00,13:00,
2026-08-19,PM,Jordan T.,13:00,18:00,
2026-08-20,AM,Sarah M.,08:00,13:00,
2026-08-20,PM,Jordan T.,13:00,18:00,
2026-08-21,AM,Sarah M.,08:00,13:00,
2026-08-21,PM,Jordan T.,13:00,18:00,
2026-08-24,AM,Sarah M.,08:00,13:00,
2026-08-24,PM,Jordan T.,13:00,18:00,
2026-08-25,AM,Sarah M.,08:00,13:00,
2026-08-25,PM,Jordan T.,13:00,18:00,
2026-08-26,AM,Sarah M.,08:00,13:00,
2026-08-26,PM,Jordan T.,13:00,18:00,
2026-08-27,AM,Sarah M.,08:00,13:00,
2026-08-27,PM,Jordan T.,13:00,18:00,
2026-08-28,AM,Sarah M.,08:00,13:00,
2026-08-28,PM,Jordan T.,13:00,18:00,
2026-08-31,AM,Sarah M.,08:00,13:00,
2026-08-31,PM,Jordan T.,13:00,18:00,
2026-09-01,AM,Sarah M.,08:00,13:00,
2026-09-01,PM,Jordan T.,13:00,18:00,
2026-09-02,AM,Sarah M.,08:00,13:00,
2026-09-02,PM,Jordan T.,13:00,18:00,
2026-09-03,AM,Sarah M.,08:00,13:00,
2026-09-03,PM,Jordan T.,13:00,18:00,
2026-09-04,AM,Sarah M.,08:00,13:00,
2026-09-04,PM,Jordan T.,13:00,18:00,
2026-09-07,AM,Sarah M.,08:00,13:00,
2026-09-07,PM,Jordan T.,13:00,18:00,
2026-09-08,AM,Sarah M.,08:00,13:00,
2026-09-08,PM,Jordan T.,13:00,18:00,
2026-09-09,AM,Sarah M.,08:00,13:00,
2026-09-09,PM,Jordan T.,13:00,18:00,
2026-09-10,AM,Sarah M.,08:00,13:00,
2026-09-10,PM,Jordan T.,13:00,18:00,
2026-09-11,AM,Sarah M.,08:00,13:00,
2026-09-11,PM,Jordan T.,13:00,18:00,
2026-09-14,AM,Sarah M.,08:00,13:00,
2026-09-14,PM,Jordan T.,13:00,18:00,
2026-09-15,AM,Sarah M.,08:00,13:00,
2026-09-15,PM,Jordan T.,13:00,18:00,
2026-09-16,AM,Sarah M.,08:00,13:00,
2026-09-16,PM,Jordan T.,13:00,18:00,
2026-09-17,AM,Sarah M.,08:00,13:00,
2026-09-17,PM,Jordan T.,13:00,18:00,
2026-09-18,AM,Sarah M.,08:00,13:00,
2026-09-18,PM,Jordan T.,13:00,18:00,
2026-09-21,AM,Sarah M.,08:00,13:00,
2026-09-21,PM,Jordan T.,13:00,18:00,
2026-09-22,AM,Sarah M.,08:00,13:00,
2026-09-22,PM,Jordan T.,13:00,18:00,
2026-09-23,AM,Sarah M.,08:00,13:00,
2026-09-23,PM,Jordan T.,13:00,18:00,
2026-09-24,AM,Sarah M.,08:00,13:00,
2026-09-24,PM,Jordan T.,13:00,18:00,
2026-09-25,AM,Sarah M.,08:00,13:00,
2026-09-25,PM,Jordan T.,13:00,18:00,
2026-09-28,AM,Sarah M.,08:00,13:00,
2026-09-28,PM,Jordan T.,13:00,18:00,
2026-09-29,AM,Sarah M.,08:00,13:00,
2026-09-29,PM,Jordan T.,13:00,18:00,
2026-09-30,AM,Sarah M.,08:00,13:00,
2026-09-30,PM,Jordan T.,13:00,18:00,
